Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for bsd-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 16:22:20 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(373544k free)

/proc/meminfo:

CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/Users/colonelhou/Documents/company/wksp/MacOS-JAVA/src/main/java/com/java/jvm/hprof -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:MaxNewSize=2097152 -XX:NewSize=2097152 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.139: [GC (Allocation Failure) [PSYoungGen: 1024K->506K(1536K)] 1024K->530K(9728K), 0.0012948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.130: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7408K->5826K(8192K)] 7440K->5826K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0023359 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.133: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7429K->7441K(9728K), 0.0008140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.134: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7441K->7441K(9728K), 0.0002505 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.134: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7409K->2661K(8192K)] 7441K->2661K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020414 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.136: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7430K->7441K(9728K), 0.0008211 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.137: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7441K->7441K(9728K), 0.0002557 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.138: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7409K->5826K(8192K)] 7441K->5826K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020412 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.140: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7430K->7441K(9728K), 0.0008327 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.141: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7441K->7441K(9728K), 0.0003015 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.141: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7409K->2662K(8192K)] 7441K->2662K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024748 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.144: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7430K->7442K(9728K), 0.0008205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.145: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7442K->7442K(9728K), 0.0002858 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.145: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7410K->5827K(8192K)] 7442K->5827K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024520 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.148: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7430K->7442K(9728K), 0.0007999 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.149: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7442K->7442K(9728K), 0.0002812 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.149: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7410K->2662K(8192K)] 7442K->2662K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021599 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.152: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7431K->7442K(9728K), 0.0006486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.152: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7442K->7442K(9728K), 0.0002729 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.153: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7410K->5827K(8192K)] 7442K->5827K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0025620 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.155: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7431K->7442K(9728K), 0.0008201 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.156: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7442K->7442K(9728K), 0.0002584 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.157: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7410K->2662K(8192K)] 7442K->2662K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021765 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
27.159: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7431K->7443K(9728K), 0.0008288 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.160: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7443K->7443K(9728K), 0.0002902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.160: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7411K->5828K(8192K)] 7443K->5828K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020801 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.163: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7432K->7443K(9728K), 0.0008269 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.164: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7443K->7443K(9728K), 0.0002431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.164: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7411K->2662K(8192K)] 7443K->2662K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024766 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.167: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7432K->7444K(9728K), 0.0003133 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.167: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7444K->7444K(9728K), 0.0002758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.167: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7412K->5828K(8192K)] 7444K->5828K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.170: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7432K->7444K(9728K), 0.0008124 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.171: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7444K->7444K(9728K), 0.0002809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.171: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7412K->2662K(8192K)] 7444K->2662K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0023037 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.174: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7433K->7444K(9728K), 0.0008307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.175: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7444K->7444K(9728K), 0.0002927 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.175: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7412K->5829K(8192K)] 7444K->5829K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024557 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.178: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7433K->7444K(9728K), 0.0007936 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.179: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7444K->7444K(9728K), 0.0003066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.179: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7412K->2662K(8192K)] 7444K->2662K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021830 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.182: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7433K->7445K(9728K), 0.0008159 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.183: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7445K->7445K(9728K), 0.0002499 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.183: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7413K->5829K(8192K)] 7445K->5829K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024950 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.186: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7434K->7445K(9728K), 0.0008108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.187: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7445K->7445K(9728K), 0.0002817 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.187: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7413K->2663K(8192K)] 7445K->2663K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.190: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7434K->7446K(9728K), 0.0003273 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.190: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7446K->7446K(9728K), 0.0002797 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.190: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7414K->5830K(8192K)] 7446K->5830K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024915 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.193: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7434K->7446K(9728K), 0.0008177 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.194: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7446K->7446K(9728K), 0.0002558 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.194: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7414K->2663K(8192K)] 7446K->2663K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0023916 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.197: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7435K->7446K(9728K), 0.0008258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.198: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7446K->7446K(9728K), 0.0002498 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.198: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7414K->5830K(8192K)] 7446K->5830K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0020886 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.201: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7435K->7446K(9728K), 0.0007989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.201: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7446K->7446K(9728K), 0.0002467 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.202: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7414K->2663K(8192K)] 7446K->2663K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021012 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.204: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7435K->7447K(9728K), 0.0008341 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.205: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7447K->7447K(9728K), 0.0002671 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.205: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7415K->5831K(8192K)] 7447K->5831K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0025265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.208: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7435K->7447K(9728K), 0.0008225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.209: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7447K->7447K(9728K), 0.0002809 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.209: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7415K->2663K(8192K)] 7447K->2663K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0023713 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.212: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7436K->7447K(9728K), 0.0008579 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.213: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7447K->7447K(9728K), 0.0003038 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.213: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7415K->5831K(8192K)] 7447K->5831K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021523 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.216: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7436K->7448K(9728K), 0.0008018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.217: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7448K->7448K(9728K), 0.0002401 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.217: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7416K->2663K(8192K)] 7448K->2663K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0023727 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.220: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7437K->7448K(9728K), 0.0003824 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.220: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7448K->7448K(9728K), 0.0003066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.220: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7416K->5832K(8192K)] 7448K->5832K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024737 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.223: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7437K->7448K(9728K), 0.0008103 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.224: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7448K->7448K(9728K), 0.0007973 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.225: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7416K->2663K(8192K)] 7448K->2663K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0019982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.227: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7437K->7449K(9728K), 0.0008125 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.228: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7449K->7449K(9728K), 0.0002395 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.228: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7417K->5832K(8192K)] 7449K->5832K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.231: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7437K->7449K(9728K), 0.0008155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.232: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7449K->7449K(9728K), 0.0002664 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.232: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7417K->2664K(8192K)] 7449K->2664K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024848 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.235: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7438K->7449K(9728K), 0.0008261 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.236: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7449K->7449K(9728K), 0.0002688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.236: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7417K->5833K(8192K)] 7449K->5833K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0029304 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.240: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7438K->7449K(9728K), 0.0008891 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.241: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7449K->7449K(9728K), 0.0007657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.241: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7417K->2664K(8192K)] 7449K->2664K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021689 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.244: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7438K->7450K(9728K), 0.0008219 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.245: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7450K->7450K(9728K), 0.0002539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.245: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7418K->5833K(8192K)] 7450K->5833K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021654 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
27.248: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7439K->7450K(9728K), 0.0008359 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.248: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7450K->7450K(9728K), 0.0002474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.249: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7418K->2664K(8192K)] 7450K->2664K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.252: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7439K->7451K(9728K), 0.0008318 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.252: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7451K->7451K(9728K), 0.0002487 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.253: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7419K->5834K(8192K)] 7451K->5834K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0025138 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.256: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7439K->7451K(9728K), 0.0002860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.256: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7451K->7451K(9728K), 0.0002492 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.256: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7419K->2664K(8192K)] 7451K->2664K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0046980 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.261: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7440K->7451K(9728K), 0.0009552 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.262: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7451K->7451K(9728K), 0.0008450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.263: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7419K->5834K(8192K)] 7451K->5834K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0040652 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.268: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7440K->7451K(9728K), 0.0008130 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.269: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7451K->7451K(9728K), 0.0006320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.269: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7419K->2664K(8192K)] 7451K->2664K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0025083 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.272: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7440K->7452K(9728K), 0.0008240 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.273: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7452K->7452K(9728K), 0.0002757 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.273: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7420K->5835K(8192K)] 7452K->5835K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024882 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.276: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7441K->7452K(9728K), 0.0008068 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.277: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7452K->7452K(9728K), 0.0002737 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.277: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7420K->2664K(8192K)] 7452K->2664K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0019605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.280: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7441K->7453K(9728K), 0.0003237 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.280: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7453K->7453K(9728K), 0.0002551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.280: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7421K->5835K(8192K)] 7453K->5835K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0024222 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.283: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7441K->7453K(9728K), 0.0007972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.284: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7453K->7453K(9728K), 0.0002543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.284: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7421K->2664K(8192K)] 7453K->2664K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021045 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.287: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7442K->7453K(9728K), 0.0006619 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.287: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7453K->7453K(9728K), 0.0002718 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.288: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7421K->5836K(8192K)] 7453K->5836K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0026176 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.291: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7442K->7453K(9728K), 0.0003094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.291: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7453K->7453K(9728K), 0.0002685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.291: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7421K->2665K(8192K)] 7453K->2665K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0021624 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
27.294: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7442K->7454K(9728K), 0.0003067 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.294: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7454K->7454K(9728K), 0.0002654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.294: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7422K->5836K(8192K)] 7454K->5836K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0026355 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
27.297: [GC (Allocation Failure) [PSYoungGen: 20K->32K(1536K)] 7443K->7454K(9728K), 0.0007982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.298: [GC (Allocation Failure) [PSYoungGen: 32K->32K(1536K)] 7454K->7454K(9728K), 0.0002717 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.298: [Full GC (Allocation Failure) [PSYoungGen: 32K->0K(1536K)] [ParOldGen: 7422K->2665K(8192K)] 7454K->2665K(9728K), [Metaspace: 3328K->3328K(1056768K)], 0.0026867 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
